,src,dst,weight
0,Tech_House,Techno,0.233264366281786
1,Techno,Tech_House,0.08821302372539122
2,Deep_House,Tech_House,0.16281733155182287
3,Tech_House,Deep_House,0.17079356604151372
4,Deep_House,Techno,0.08395368072787428
5,Techno,Deep_House,0.03330388692579505
6,Electro,IDM,0.04905348557692308
7,IDM,Electro,0.16990828075196773
8,Progressive_House,Trance,0.11255280627640314
9,Trance,Progressive_House,0.05201506066099568
10,Breakbeat,Hardcore,0.25002680965147456
11,Hardcore,Breakbeat,0.06656578778318653
12,Breakbeat,Jungle,0.10235924932975872
13,Jungle,Breakbeat,0.2135824569254867
14,Hardcore,Jungle,0.025195928680532755
15,Jungle,Hardcore,0.19747147012754532
16,Drum_n_Bass,Jungle,0.1435152374202693
17,Jungle,Drum_n_Bass,0.49843365406131124
18,Bleep,Breakbeat,0.3972055888223553
19,Breakbeat,Bleep,0.010670241286863271
20,Bleep,Techno,0.7584830339321357
21,Techno,Bleep,0.004795557799091368
22,Breakbeat,Techno,0.17270777479892763
23,Techno,Breakbeat,0.04064866229177183
24,Bleep,Hardcore,0.25149700598802394
25,Hardcore,Bleep,0.0017986895262023382
26,Hardcore,Techno,0.04810780716906254
27,Techno,Hardcore,0.04252902574457345
28,Ambient,Breakbeat,0.015060413445570636
29,Breakbeat,Ambient,0.05640750670241287
30,Ambient,Techno,0.07515890740422608
31,Techno,Ambient,0.06625441696113074
32,Electro,Techno,0.1582970252403846
33,Techno,Electro,0.10637304391721353
34,Abstract,Ambient,0.2838232609092569
35,Ambient,Abstract,0.0890167783313291
36,Abstract,Experimental,0.534325360598868
37,Experimental,Abstract,0.13259781155841507
38,Ambient,Experimental,0.2843297257057779
39,Experimental,Ambient,0.22497224802337962
40,Acid,Techno,0.5910872704765835
41,Techno,Acid,0.10846794548207976
42,Electro,Synth-pop,0.13226787860576922
43,Synth-pop,Electro,0.10825059174326028
44,Experimental,Techno,0.05613828413493124
45,Techno,Experimental,0.06254416961130742
46,Abstract,Techno,0.08366806645974073
47,Techno,Abstract,0.02313225643614336
48,Abstract,Minimal,0.07599963483658938
49,Minimal,Abstract,0.07339004716357385
50,Minimal,Techno,0.29316348569665446
51,Techno,Minimal,0.08393488137304392
52,Experimental,Minimal_Techno,0.0028091796742257765
53,Minimal_Techno,Experimental,0.08882521489971347
54,Abstract,Tribal,0.012278619682307833
55,Tribal,Abstract,0.035283315844700944
56,Experimental,Tribal,0.011429283432636324
57,Tribal,Experimental,0.13234522560335782
58,Techno,Tribal,0.02258960121150934
59,Tribal,Techno,0.23478488982161594
60,Progressive_Trance,Trance,0.3234947566866973
61,Trance,Progressive_Trance,0.1093890073111939
62,Britpop,Indie_Rock,0.522347872913301
63,Indie_Rock,Britpop,0.014555385492632274
64,Acid,Hard_Trance,0.07743621484079499
65,Hard_Trance,Acid,0.08860560276990873
66,Ambient,Minimal_Techno,0.004437954532440016
67,Minimal_Techno,Ambient,0.11103151862464183
68,IDM,Techno,0.18220256293501594
69,Techno,IDM,0.035348308934881376
70,Minimal,Tech_House,0.2573720632961608
71,Tech_House,Minimal,0.1948541680571314
72,Electro,Minimal,0.03731595552884615
73,Minimal,Electro,0.08758319742583859
74,Electro,Tech_House,0.04619891826923077
75,Tech_House,Electro,0.08209303877728091
76,Electro,Trance,0.022141676682692308
77,Trance,Electro,0.023487459409924895
