style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Experimental,0.0057458063,-0.028914213,0.23238902,0.34154737,0.055945694,-0.009055963,0.5632643,-0.022636626,0.15413739,-0.39103803,0.25005502,-0.38031897,-0.2251765,0.036841415,-0.19587241,-0.10215687,-0.1870339,-0.0382843,-0.23746836,0.124904804,0.40783623,0.16063604,0.4034617,-0.1370524,0.053930745,0.14579326,-0.20538567,0.07467283,-0.3194036,-0.33062994,0.03396153,0.061917283
Pop_Rock,-0.06375199,-0.20049962,0.2897946,0.035331,0.27969816,-0.20486823,-0.08911674,-0.10200564,0.098170385,-0.1319957,-0.06973591,-0.22997624,0.06270796,-0.22110416,-0.15226921,0.44001758,-0.004624118,0.2194331,-0.03994404,0.39599735,0.16982101,0.39111876,0.3383243,-0.12029474,0.073437974,0.10553985,-0.23295209,0.1582353,0.02018121,-0.36109725,0.1460278,-0.1072245
Ambient,0.08334525,-0.13835289,0.19878101,0.36293387,0.13743007,-0.17656906,0.78904605,-0.040741783,0.049091402,-0.21187828,0.26761475,-0.39068252,-0.085777715,0.10232741,-0.24181272,-0.07389501,-0.316458,0.014323453,-0.054547388,0.16434999,0.36929592,0.13507386,0.2630858,-0.13303801,-0.046266146,0.34099647,-0.21535389,0.041142706,-0.2929452,-0.15094061,0.069705114,0.10055726
House,-0.40182424,-0.13659833,0.19783153,0.55883574,0.35275543,-0.17469479,0.45509684,-0.10538819,-0.08109235,-0.13112155,0.251792,-0.703106,-0.23138666,-0.24120037,-0.07836863,0.054867513,-0.10549591,-0.081293486,0.06959573,0.3658583,-0.026454173,0.45610514,0.29165563,-0.20662025,0.112479396,-0.0883014,0.04194521,0.117342666,-0.011245401,0.18233386,0.09364053,-0.13520281
Synth-pop,-0.058379106,-0.29210183,0.23760107,0.29845345,0.3807402,-0.035273474,0.19213499,-0.17850111,0.12554768,-0.08654497,0.25393498,-0.33760333,0.09562212,-0.20122865,-0.31380224,0.3632576,0.0011637625,-0.0013581289,0.022835432,0.37978286,0.13087747,0.2447781,0.35689285,-0.15725774,0.12348964,-0.09013098,-0.06531348,0.3073443,-0.08320271,-0.17871948,0.23535277,-0.15874553
Techno,-0.44304398,-0.20576301,0.15067066,0.51984745,0.27817556,-0.20470294,0.55780834,0.08197466,0.08425899,-0.19782163,0.21582147,-0.6124462,-0.13911545,-0.04636803,-0.05793974,-0.048658058,-0.28684673,-0.27223778,-0.07731733,0.17812575,0.16954002,0.22167116,0.422014,-0.22169404,0.020085609,0.07731772,-0.00762184,0.3555296,-0.18768749,0.13217954,0.26633707,-0.036821753
Vocal,0.21549635,-0.17337827,0.019308697,-0.017800895,0.28395367,-0.2854292,-0.022165587,-0.20296203,-0.06938363,-0.011790053,-0.041789502,-0.17313221,-0.033543494,-0.2090323,-0.0037799857,0.62142664,-0.124763094,0.2951338,-0.13973379,0.31167957,0.27700508,0.3719421,0.31533515,0.25578967,-0.05638426,0.12756045,-0.040007655,0.10319986,0.061997667,-0.1506638,0.26583946,-0.20674866
Punk,-0.04365747,-0.11696244,0.6938812,0.20057528,-0.14066696,-0.06882534,0.06664662,0.18456414,0.057340324,-0.09379585,-0.19015063,-0.21250574,-0.19531173,-0.0651289,0.007727383,0.106315784,-0.013768523,-0.26194072,-0.5222397,0.12538642,0.23599519,0.34280962,0.69314295,-0.45690894,0.21136402,0.025443546,-0.29107228,0.45605794,0.014761133,-0.3388264,-0.03317753,-0.21814542
Ballad,-0.036435273,-0.24813706,0.035162296,0.1156687,0.3013455,-0.16015676,-0.028486637,-0.13143282,-0.08477508,-0.10813552,0.121315986,-0.0722833,0.00062936515,-0.24413852,0.00207128,0.5947171,0.007924865,0.35718468,-0.07141143,0.3539843,0.14000854,0.44031698,0.3164841,0.15023838,-0.03028923,0.1302164,-0.14595595,0.17493153,0.07563093,-0.24968101,0.39477122,-0.15740694
Electro,-0.09446657,-0.18284671,0.16808604,0.43926007,0.2840142,-0.0560127,0.40210256,-0.06507923,0.097600594,-0.32404122,0.29360414,-0.531397,-0.100128606,-0.035148226,-0.14871632,-0.02544793,-0.23530829,-0.07528389,0.035490375,0.3055636,0.0653736,0.21848376,0.4360234,-0.24213539,0.12994199,0.007843494,-0.0057783457,0.32530048,-0.11098394,-0.004754848,0.16804892,-0.08406193
Alternative_Rock,0.09994543,-0.2622079,0.57747895,0.118792325,0.24404147,-0.17866571,0.116203174,0.039859656,-0.0026704457,-0.22634624,-0.17407161,-0.14214283,-0.02259516,0.03017345,-0.25724936,0.19510522,0.00024682083,-0.05903931,-0.29502028,0.25471294,0.34022358,0.2719222,0.30366206,-0.5218515,0.15067635,0.05500026,-0.33505294,0.05796597,0.0025824523,-0.41740707,0.05425846,-0.15502633
