style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Experimental,-2.3188615,2.505413,-0.5115113,0.5612423,-0.66211873,-0.3156156,-2.9917006,0.4132806,0.34277785,-0.84354424,0.07974029,2.5687606,0.5964978,0.031624936,0.49901664,0.90387887,0.8276716,-1.5161113,-1.5386955,-0.40543336,-2.7015665,-1.2947627,1.9688635,-0.9986257,-1.34109,-2.3137286,-1.0581899,0.35780814,-2.3000622,2.2801132,-1.3107322,2.432481
House,-1.5827442,-0.41937014,-0.018959938,-1.1480718,-0.09626634,0.10411897,-0.36173287,1.8719661,2.3399518,1.8914058,-3.8363776,-1.3122607,-1.0532784,1.2440885,2.505694,1.2636702,-1.7911291,0.040175058,-0.2774772,-0.77311236,-0.0033375218,-1.0811284,-1.2680635,-1.623198,1.1548446,-1.2897693,0.91483444,-0.9252582,-1.495719,-0.2812116,1.1574029,-1.4551071
Pop_Rock,1.9042836,-0.19968523,1.477455,0.9006016,-0.23966114,0.44518322,-0.2992649,2.8259609,-1.2935373,0.8875882,0.07898009,-1.2434282,0.2815844,2.2231138,-1.413805,0.24733181,0.19747302,1.1603874,2.837109,0.74130374,0.35540885,0.24519849,0.4505614,0.027241819,-1.1000535,-0.6359834,0.8426548,0.40508714,-1.4310036,-0.5013698,2.9219253,-1.2666659
Punk,-0.1126856,-0.3609078,1.9937876,2.028772,1.5376277,1.7069192,-0.6257504,2.0796463,1.0126401,-0.14450067,1.4350474,2.4381378,2.1146538,1.8057877,-1.2589029,-0.97083473,1.4340142,0.17745876,-1.8762658,2.933858,1.4867067,2.4399946,-0.4623938,1.4153951,-0.930567,-2.3111389,1.0280896,0.46415627,-1.4604257,0.42777702,-0.53608394,2.524284
Ambient,-2.2348228,3.110954,0.24074668,-0.9112635,-1.0601858,-0.17692547,-2.327678,-0.78255457,1.5607514,0.86573815,0.14955355,1.9310627,1.0271825,-0.40923992,0.0921939,-1.2184186,-0.2260045,-0.28234813,-0.7987069,-1.0455296,-3.9732854,-0.63127404,-0.015386531,-2.5986972,0.6059512,-0.6092032,-1.8049355,-1.2780315,0.4115553,3.7903244,0.2722323,0.98793334
Techno,-3.8685253,1.4868919,-0.54353493,-1.3720402,0.0067762253,2.0899713,-0.057081286,1.6250006,2.8256216,0.5438029,-2.0144165,0.31579074,-0.014088141,1.6264448,1.1015937,-1.031448,-1.0876075,-1.951412,-1.0090715,0.32129365,-1.7281073,0.10115871,-1.7220268,-0.79695785,-2.2379897,0.080302216,-0.32499638,-1.0176824,-0.4815891,0.61261046,0.6529369,-0.089405544
Vocal,1.9681863,-0.5753896,-0.88430274,-0.9198158,-0.5791578,0.062023126,0.04512751,1.7945913,-1.7558249,0.1046991,0.98704934,-1.2205749,-1.601019,0.15144533,0.16479872,0.54632217,-1.008828,2.5358663,1.7475806,0.11456541,2.24309,-0.29738888,0.047215447,-0.4839359,-0.19516003,0.9309796,-0.3975904,1.6595986,1.7223874,-0.86196274,2.4882808,-0.89945847
Hardcore,-2.7233999,-0.5334595,0.5426631,2.5234425,-0.75045997,3.0845714,0.47159505,-2.2848573,1.373603,-2.3984647,-1.5876334,2.0519905,-0.069741085,1.8160149,-0.8113636,-1.1579331,-0.010158777,-1.4808869,-3.0679646,0.9478132,1.4797972,1.4508524,0.21162352,-1.1556405,-1.7126123,0.0012313264,1.6748621,-1.0031834,-2.0913787,1.682303,-3.1577134,-1.4719588
Synth-pop,-0.66049886,0.08282106,1.8879699,0.79391533,0.4301756,1.2140635,-1.5818733,1.0735335,-0.8711305,2.7053907,-0.8823962,0.043997396,-1.8116788,0.6059939,0.31118727,1.5056642,-1.0803351,-0.37430832,1.0151502,2.0593286,-1.0314432,-1.1262798,-1.8254184,-2.3008194,-0.74674445,-1.160671,-0.40605575,-0.46795782,-0.5216987,-0.38103163,2.240474,-1.5770421
Alternative_Rock,0.21357028,0.29316086,1.5731716,3.628096,0.8874768,-0.4942644,-0.6314059,1.1000254,-0.62235445,-0.20572062,-0.33338365,1.4119381,0.7239499,2.5397425,-0.8054878,-0.36035398,1.2460061,0.99005514,0.71301895,1.0780866,0.07906751,-1.0709026,-0.8946382,-1.0748484,-1.0574192,-3.0275707,0.935098,-0.23906703,-1.3010744,0.91074306,-0.27496162,0.8044562
Electro,-1.9667276,1.0399827,1.1136541,1.0999125,-0.97635,1.3437567,-1.7272239,0.796475,0.94836235,0.12389426,-2.1105855,0.072014,-1.3130275,1.4642721,1.7846676,0.87315404,-1.150816,-0.9380848,-0.92168397,0.76585513,-1.1273773,-1.8416327,-1.1499311,-1.689563,-0.10015822,0.1659753,0.006743908,-1.4676865,-0.8501662,1.0251217,1.2732021,0.90408623
Ballad,0.49798027,-1.1930307,0.9110361,0.031861704,-1.0585278,-0.90408593,1.2352583,1.751224,-0.8045089,-0.15773265,0.8920769,-1.4428785,-1.4817494,1.9176203,-0.42185512,2.9006822,-0.9441496,1.7380271,3.7480452,-0.06968689,1.5557116,-0.025939161,0.95710665,-0.785187,-0.31571448,0.15898322,1.3480619,0.25806937,0.24116698,-0.83143604,2.1916976,-0.81387085
